scenario,var,id,val,pos
0.5,SLNI,MVPI000074,0.075,ld4
0.5,SLHW,MVPI000075,7.5,ld4
0.5,SCEC,MVPI000076,2.7,ld4
0.5,SLB,MVPI000064,220.5,ld5
0.5,SLLL,MVPI000065,0.3135,ld5
0.5,SDUL,MVPI000066,0.454,ld5
0.5,SSAT,MVPI000067,0.6825,ld5
0.5,SRGF,MVPI000068,0.3,ld5
0.5,SSKS,MVPI000069,0.57,ld5
0.5,SBDM,MVPI000070,2.1,ld5
0.5,SLOC,MVPI000071,0.45,ld5
0.5,SLCL,MVPI000072,88.5,ld5
0.5,SLSI,MVPI000073,12,ld5
0.5,SLNI,MVPI000074,0.045,ld5
0.5,SLHW,MVPI000075,8.55,ld5
0.5,SCEC,MVPI000076,2.7,ld5
0.5,SLB,MVPI000064,262.5,ld6
0.5,SLLL,MVPI000065,0.3135,ld6
0.5,SDUL,MVPI000066,0.452,ld6
0.5,SSAT,MVPI000067,0.6795,ld6
0.5,SRGF,MVPI000068,0.075,ld6
0.5,SSKS,MVPI000069,0.555,ld6
0.5,SBDM,MVPI000070,2.1,ld6
0.5,SLOC,MVPI000071,0.45,ld6
0.5,SLCL,MVPI000072,87,ld6
0.5,SLSI,MVPI000073,13.5,ld6
0.5,SLNI,MVPI000074,0.045,ld6
0.5,SLHW,MVPI000075,8.55,ld6
0.5,SCEC,MVPI000076,1.65,ld6
0.75,SALB,MVPI000077,0.2275,pd
0.75,SLU1,MVPI000078,14,pd
0.75,SLDR,MVPI000079,1,pd
0.75,SLRO,MVPI000080,99.9,pd
0.75,SLNF,MVPI000081,1,pd
0.75,SLPF,MVPI000082,1,pd
0.75,SLB,MVPI000083,15.75,ld1
0.75,SLLL,MVPI000084,0.343,ld1
0.75,SDUL,MVPI000085,0.47,ld1
0.75,SSAT,MVPI000086,0.82425,ld1
0.75,SRGF,MVPI000087,1,ld1
0.75,SSKS,MVPI000088,0.7175,ld1
0.75,SBDM,MVPI000089,2.3275,ld1
0.75,SLOC,MVPI000090,2.975,ld1
0.75,SLCL,MVPI000091,87.5,ld1
0.75,SLSI,MVPI000092,12.25,ld1
0.75,SLNI,MVPI000093,0.2975,ld1
0.75,SLHW,MVPI000094,8.925,ld1
0.75,SCEC,MVPI000095,7.175,ld1
0.75,SLB,MVPI000083,63,ld2
0.75,SLLL,MVPI000084,0.34125,ld2
0.75,SDUL,MVPI000085,0.499,ld2
0.75,SSAT,MVPI000086,0.875,ld2
0.75,SRGF,MVPI000087,1,ld2
0.75,SSKS,MVPI000088,1.085,ld2
0.75,SBDM,MVPI000089,2.205,ld2
0.75,SLOC,MVPI000090,2.1,ld2
0.75,SLCL,MVPI000091,91,ld2
0.75,SLSI,MVPI000092,15.75,ld2
0.75,SLNI,MVPI000093,0.21,ld2
0.75,SLHW,MVPI000094,8.575,ld2
0.75,SCEC,MVPI000095,6.125,ld2
0.75,SLB,MVPI000083,126,ld3
0.75,SLLL,MVPI000084,0.349,ld3
0.75,SDUL,MVPI000085,0.555,ld3
0.75,SSAT,MVPI000086,0.973,ld3
0.75,SRGF,MVPI000087,1,ld3
0.75,SSKS,MVPI000088,2.2225,ld3
0.75,SBDM,MVPI000089,1.96,ld3
